3, 0.080000, 0.149500, 10000, 3.474220
3, 0.086667, 0.173500, 10000, 3.475114
3, 0.093333, 0.196000, 10000, 3.598513
3, 0.100000, 0.227000, 10000, 3.795684
3, 0.106667, 0.256800, 10000, 4.017523
3, 0.113333, 0.277800, 10000, 4.140370
3, 0.120000, 0.298200, 10000, 4.245767
3, 0.126667, 0.329000, 10000, 4.489158
3, 0.133333, 0.364900, 10000, 4.647545
3, 0.140000, 0.376200, 10000, 4.759477
5, 0.080000, 0.130700, 10000, 12.994608
5, 0.086667, 0.158200, 10000, 14.317322
5, 0.093333, 0.196000, 10000, 15.534266
5, 0.100000, 0.228300, 10000, 16.613540
5, 0.106667, 0.260200, 10000, 17.975206
5, 0.113333, 0.300400, 10000, 19.176624
5, 0.120000, 0.338700, 10000, 20.394905
5, 0.126667, 0.377300, 10000, 21.733728
5, 0.133333, 0.417000, 10000, 22.896122
5, 0.140000, 0.453400, 10000, 23.985247
7, 0.080000, 0.113200, 10000, 43.693539
7, 0.086667, 0.145000, 10000, 49.448876
7, 0.093333, 0.176700, 10000, 55.149449
7, 0.100000, 0.221900, 10000, 61.296417
7, 0.106667, 0.274500, 10000, 67.780540
7, 0.113333, 0.321400, 10000, 73.031952
7, 0.120000, 0.363800, 10000, 78.619187
7, 0.126667, 0.425900, 10000, 84.804845
7, 0.133333, 0.453000, 10000, 90.088738
7, 0.140000, 0.490700, 10000, 96.311768
9, 0.080000, 0.094400, 10000, 125.738497
9, 0.086667, 0.134400, 10000, 143.968095
9, 0.093333, 0.175000, 10000, 164.014532
9, 0.100000, 0.231700, 10000, 184.816878
9, 0.106667, 0.281100, 10000, 204.451223
9, 0.113333, 0.336000, 10000, 228.804722
9, 0.120000, 0.391000, 10000, 253.799466
9, 0.126667, 0.441100, 10000, 289.164506
9, 0.133333, 0.495500, 10000, 312.029406
9, 0.140000, 0.531200, 10000, 326.216826
11, 0.080000, 0.080600, 10000, 308.266516
11, 0.086667, 0.119600, 10000, 361.718733
11, 0.093333, 0.170000, 10000, 418.628719
11, 0.100000, 0.226800, 10000, 481.157156
11, 0.106667, 0.286900, 10000, 538.944683
11, 0.113333, 0.349200, 10000, 598.871265
11, 0.120000, 0.420600, 10000, 678.440590
11, 0.126667, 0.464400, 10000, 749.915139
11, 0.133333, 0.524100, 10000, 789.203985
11, 0.140000, 0.564400, 10000, 846.041274
13, 0.080000, 0.070000, 10000, 700.501721
13, 0.086667, 0.101700, 10000, 811.508083
13, 0.093333, 0.159800, 10000, 958.753525
13, 0.100000, 0.223300, 10000, 1101.709147
13, 0.106667, 0.291300, 10000, 1253.925895
13, 0.113333, 0.359100, 10000, 1406.024552
13, 0.120000, 0.442200, 10000, 1570.519921
13, 0.126667, 0.502000, 10000, 1724.643151
13, 0.133333, 0.542700, 10000, 1872.808527
13, 0.140000, 0.593300, 10000, 2020.675928
15, 0.080000, 0.052300, 10000, 1392.488176
15, 0.086667, 0.094100, 10000, 1692.258701
15, 0.093333, 0.154300, 10000, 2007.514711
15, 0.100000, 0.222500, 10000, 2340.403144
15, 0.106667, 0.304100, 10000, 2683.774584
15, 0.113333, 0.374100, 10000, 3030.186419
15, 0.120000, 0.451500, 10000, 3390.300304
15, 0.126667, 0.516700, 10000, 3734.538539
15, 0.133333, 0.573600, 10000, 4080.877020
15, 0.140000, 0.632600, 10000, 4432.527174